EmployeeNumber,Age,Gender,MaritalStatus,EducationField,Department
1,41,Female,Single,Life Sciences,Sales
2,49,Male,Married,Life Sciences,Research & Development
4,37,Male,Single,Other,Research & Development
5,33,Female,Married,Life Sciences,Research & Development
7,27,Male,Married,Medical,Research & Development
8,32,Male,Single,Life Sciences,Research & Development
10,59,Female,Married,Medical,Research & Development
11,30,Male,Divorced,Life Sciences,Research & Development
12,38,Male,Single,Life Sciences,Research & Development
13,36,Male,Married,Medical,Research & Development
14,35,Male,Married,Medical,Research & Development
15,29,Female,Single,Life Sciences,Research & Development
16,31,Male,Divorced,Life Sciences,Research & Development
18,34,Male,Divorced,Medical,Research & Development
19,28,Male,Single,Life Sciences,Research & Development
20,29,Female,Divorced,Life Sciences,Research & Development
21,32,Male,Divorced,Life Sciences,Research & Development
22,22,Male,Divorced,Medical,Research & Development
23,53,Female,Married,Life Sciences,Sales
24,38,Male,Single,Life Sciences,Research & Development
26,24,Female,Divorced,Other,Research & Development
27,36,Male,Single,Life Sciences,Sales
28,34,Female,Single,Life Sciences,Research & Development
30,21,Male,Single,Life Sciences,Research & Development
31,34,Male,Single,Medical,Research & Development
32,53,Female,Divorced,Other,Research & Development
33,32,Female,Single,Life Sciences,Research & Development
35,42,Male,Married,Marketing,Sales
36,44,Female,Married,Medical,Research & Development
38,46,Female,Single,Marketing,Sales
39,33,Male,Single,Medical,Research & Development
40,44,Male,Married,Other,Research & Development
41,30,Male,Single,Medical,Research & Development
42,39,Male,Married,Technical Degree,Sales
45,24,Male,Married,Medical,Research & Development
46,43,Female,Divorced,Medical,Research & Development
47,50,Male,Married,Marketing,Sales
49,35,Female,Married,Marketing,Sales
51,36,Female,Married,Life Sciences,Research & Development
52,33,Female,Married,Life Sciences,Sales
53,35,Male,Divorced,Other,Research & Development
54,27,Female,Divorced,Life Sciences,Research & Development
55,26,Male,Single,Life Sciences,Research & Development
56,27,Male,Single,Life Sciences,Sales
57,30,Female,Single,Medical,Research & Development
58,41,Female,Married,Technical Degree,Research & Development
60,34,Male,Single,Marketing,Sales
61,37,Male,Married,Life Sciences,Research & Development
62,46,Male,Single,Marketing,Sales
63,35,Male,Married,Life Sciences,Research & Development
64,48,Male,Single,Life Sciences,Research & Development
65,28,Male,Single,Technical Degree,Research & Development
68,44,Female,Divorced,Marketing,Sales
70,35,Male,Married,Medical,Research & Development
72,26,Female,Married,Marketing,Sales
73,33,Female,Single,Life Sciences,Research & Development
74,35,Male,Married,Life Sciences,Sales
75,35,Female,Married,Medical,Research & Development
76,31,Male,Divorced,Life Sciences,Research & Development
77,37,Male,Divorced,Life Sciences,Research & Development
78,32,Male,Married,Medical,Research & Development
79,38,Female,Single,Life Sciences,Research & Development
80,50,Female,Divorced,Medical,Research & Development
81,59,Female,Single,Life Sciences,Sales
83,36,Female,Divorced,Technical Degree,Research & Development
84,55,Female,Divorced,Medical,Research & Development
85,36,Male,Single,Life Sciences,Research & Development
86,45,Male,Divorced,Life Sciences,Research & Development
88,35,Male,Married,Medical,Research & Development
90,36,Male,Married,Medical,Research & Development
91,59,Female,Single,Life Sciences,Sales
94,29,Male,Married,Life Sciences,Research & Development
95,31,Male,Single,Medical,Research & Development
96,32,Male,Married,Life Sciences,Research & Development
97,36,Female,Married,Life Sciences,Research & Development
98,31,Female,Single,Life Sciences,Research & Development
100,35,Male,Single,Marketing,Sales
101,45,Male,Married,Other,Research & Development
102,37,Male,Single,Medical,Research & Development
103,46,Male,Divorced,Medical,Human Resources
104,30,Male,Married,Life Sciences,Research & Development
105,35,Male,Single,Medical,Research & Development
106,55,Male,Married,Life Sciences,Sales
107,38,Female,Divorced,Medical,Research & Development
110,34,Male,Married,Medical,Research & Development
112,56,Male,Single,Life Sciences,Research & Development
113,23,Male,Divorced,Technical Degree,Sales
116,51,Male,Married,Life Sciences,Research & Development
117,30,Male,Married,Life Sciences,Research & Development
118,46,Male,Single,Medical,Sales
119,40,Male,Married,Life Sciences,Research & Development
120,51,Male,Single,Marketing,Sales
121,30,Female,Divorced,Medical,Sales
124,46,Male,Married,Medical,Research & Development
125,32,Male,Single,Medical,Sales
126,54,Female,Married,Technical Degree,Research & Development
128,24,Female,Married,Other,Sales
129,28,Male,Married,Medical,Sales
131,58,Male,Single,Medical,Sales
132,44,Male,Married,Medical,Research & Development
133,37,Male,Divorced,Human Resources,Human Resources
134,32,Male,Single,Life Sciences,Research & Development
137,20,Female,Single,Life Sciences,Research & Development
138,34,Female,Single,Other,Research & Development
139,37,Male,Divorced,Life Sciences,Research & Development
140,59,Female,Married,Human Resources,Human Resources
141,50,Female,Married,Life Sciences,Research & Development
142,25,Male,Single,Marketing,Sales
143,25,Male,Married,Medical,Research & Development
144,22,Female,Single,Medical,Research & Development
145,51,Female,Single,Medical,Research & Development
147,34,Male,Single,Life Sciences,Research & Development
148,54,Female,Single,Human Resources,Human Resources
150,24,Male,Married,Life Sciences,Research & Development
151,34,Female,Divorced,Life Sciences,Research & Development
152,37,Male,Single,Life Sciences,Sales
153,34,Female,Single,Medical,Research & Development
154,36,Female,Married,Technical Degree,Sales
155,36,Female,Divorced,Life Sciences,Research & Development
158,43,Male,Married,Life Sciences,Sales
159,30,Male,Divorced,Life Sciences,Research & Development
160,33,Male,Married,Marketing,Sales
161,56,Female,Married,Life Sciences,Research & Development
162,51,Male,Single,Life Sciences,Research & Development
163,31,Male,Married,Life Sciences,Sales
164,26,Female,Married,Other,Research & Development
165,58,Female,Married,Medical,Research & Development
167,19,Male,Single,Marketing,Sales
169,22,Male,Married,Technical Degree,Research & Development
170,49,Female,Married,Medical,Research & Development
171,43,Female,Single,Medical,Research & Development
174,50,Female,Single,Marketing,Sales
175,31,Female,Married,Life Sciences,Sales
176,41,Male,Divorced,Life Sciences,Sales
177,26,Female,Married,Life Sciences,Human Resources
178,36,Male,Divorced,Medical,Research & Development
179,51,Male,Single,Life Sciences,Research & Development
182,39,Female,Married,Life Sciences,Sales
183,25,Male,Married,Life Sciences,Sales
184,30,Male,Married,Human Resources,Human Resources
190,32,Female,Single,Medical,Research & Development
192,45,Male,Single,Medical,Research & Development
193,38,Female,Single,Technical Degree,Research & Development
194,30,Female,Single,Life Sciences,Research & Development
195,32,Male,Divorced,Medical,Sales
197,30,Female,Divorced,Technical Degree,Research & Development
198,30,Male,Single,Medical,Research & Development
199,41,Male,Divorced,Life Sciences,Research & Development
200,41,Male,Married,Life Sciences,Research & Development
201,19,Female,Single,Medical,Research & Development
202,40,Female,Divorced,Medical,Research & Development
204,35,Male,Married,Marketing,Sales
205,53,Male,Married,Marketing,Sales
206,45,Male,Divorced,Life Sciences,Research & Development
207,32,Female,Single,Marketing,Sales
208,29,Male,Married,Technical Degree,Research & Development
211,51,Male,Married,Medical,Research & Development
214,58,Female,Married,Medical,Research & Development
215,40,Male,Married,Marketing,Sales
216,34,Female,Married,Marketing,Sales
217,22,Male,Married,Medical,Research & Development
218,27,Male,Divorced,Medical,Research & Development
221,28,Male,Married,Medical,Research & Development
223,57,Male,Divorced,Life Sciences,Research & Development
224,27,Male,Divorced,Medical,Research & Development
226,50,Female,Single,Life Sciences,Research & Development
227,41,Male,Divorced,Life Sciences,Research & Development
228,30,Female,Married,Life Sciences,Sales
230,38,Female,Single,Life Sciences,Sales
231,32,Male,Single,Life Sciences,Research & Development
233,27,Male,Married,Technical Degree,Research & Development
235,19,Female,Single,Technical Degree,Sales
238,36,Male,Single,Medical,Research & Development
239,30,Male,Divorced,Medical,Research & Development
240,45,Female,Divorced,Life Sciences,Sales
241,56,Female,Divorced,Life Sciences,Research & Development
242,33,Male,Single,Life Sciences,Research & Development
243,19,Male,Single,Life Sciences,Research & Development
244,46,Female,Divorced,Marketing,Sales
245,38,Female,Single,Life Sciences,Research & Development
246,31,Female,Married,Medical,Research & Development
247,34,Female,Single,Medical,Research & Development
248,41,Female,Single,Marketing,Sales
249,50,Male,Married,Medical,Research & Development
250,53,Female,Divorced,Medical,Research & Development
252,33,Female,Married,Medical,Research & Development
253,40,Female,Married,Medical,Research & Development
254,55,Male,Single,Medical,Research & Development
256,34,Male,Married,Life Sciences,Research & Development
258,51,Female,Single,Medical,Research & Development
259,52,Male,Married,Life Sciences,Research & Development
260,27,Female,Single,Medical,Research & Development
261,35,Male,Married,Life Sciences,Research & Development
262,43,Male,Divorced,Medical,Research & Development
264,45,Male,Married,Medical,Research & Development
267,37,Male,Married,Life Sciences,Research & Development
269,35,Female,Single,Medical,Research & Development
270,42,Female,Divorced,Medical,Research & Development
271,38,Male,Married,Life Sciences,Research & Development
273,38,Male,Married,Technical Degree,Research & Development
274,27,Male,Married,Technical Degree,Research & Development
275,49,Male,Divorced,Life Sciences,Research & Development
277,34,Male,Divorced,Medical,Research & Development
281,40,Male,Married,Medical,Research & Development
282,38,Male,Married,Medical,Research & Development
283,29,Female,Married,Marketing,Sales
284,22,Male,Divorced,Life Sciences,Research & Development
286,36,Female,Single,Medical,Research & Development
287,40,Male,Married,Life Sciences,Research & Development
288,46,Male,Divorced,Medical,Research & Development
291,32,Male,Married,Medical,Sales
292,30,Male,Single,Life Sciences,Research & Development
293,27,Female,Single,Life Sciences,Sales
296,51,Male,Married,Life Sciences,Research & Development
297,30,Female,Single,Technical Degree,Research & Development
298,41,Female,Single,Life Sciences,Sales
299,30,Female,Single,Marketing,Sales
300,29,Male,Single,Technical Degree,Research & Development
302,45,Female,Single,Medical,Sales
303,54,Female,Married,Marketing,Sales
304,36,Male,Single,Life Sciences,Research & Development
305,33,Female,Married,Medical,Research & Development
306,37,Male,Divorced,Other,Research & Development
307,38,Male,Divorced,Life Sciences,Sales
308,31,Male,Married,Medical,Research & Development
309,59,Male,Married,Life Sciences,Research & Development
311,37,Male,Divorced,Marketing,Sales
312,29,Female,Married,Medical,Sales
314,35,Female,Single,Marketing,Sales
315,29,Male,Single,Medical,Research & Development
316,52,Female,Single,Life Sciences,Research & Development
319,42,Male,Married,Technical Degree,Research & Development
321,59,Male,Married,Medical,Human Resources
323,50,Female,Divorced,Medical,Sales
325,33,Male,Married,Medical,Research & Development
327,43,Female,Married,Marketing,Sales
328,33,Female,Married,Life Sciences,Research & Development
329,52,Male,Single,Life Sciences,Sales
330,32,Female,Married,Life Sciences,Sales
331,32,Male,Single,Life Sciences,Research & Development
332,39,Female,Divorced,Medical,Research & Development
333,32,Male,Married,Marketing,Sales
334,41,Male,Divorced,Life Sciences,Research & Development
335,40,Male,Divorced,Technical Degree,Research & Development
336,45,Male,Married,Other,Research & Development
337,31,Male,Divorced,Medical,Research & Development
338,33,Female,Married,Life Sciences,Research & Development
339,34,Male,Married,Life Sciences,Research & Development
340,37,Female,Married,Medical,Research & Development
341,45,Male,Married,Life Sciences,Research & Development
342,37,Male,Divorced,Medical,Research & Development
343,39,Female,Single,Technical Degree,Research & Development
346,29,Male,Single,Life Sciences,Research & Development
347,42,Female,Single,Life Sciences,Research & Development
349,29,Male,Divorced,Marketing,Sales
350,25,Female,Married,Life Sciences,Research & Development
351,42,Female,Divorced,Medical,Research & Development
352,40,Male,Divorced,Medical,Research & Development
353,51,Male,Married,Life Sciences,Research & Development
355,31,Male,Single,Medical,Research & Development
359,32,Male,Married,Life Sciences,Research & Development
361,38,Male,Married,Life Sciences,Sales
362,32,Male,Single,Technical Degree,Research & Development
363,46,Female,Married,Technical Degree,Sales
364,28,Male,Single,Life Sciences,Research & Development
366,29,Male,Married,Medical,Sales
367,31,Male,Married,Medical,Research & Development
369,25,Male,Divorced,Life Sciences,Research & Development
372,45,Male,Married,Medical,Research & Development
373,36,Male,Married,Life Sciences,Research & Development
374,55,Male,Single,Medical,Research & Development
376,47,Male,Married,Life Sciences,Research & Development
377,28,Male,Married,Medical,Research & Development
378,37,Male,Married,Medical,Sales
379,21,Male,Single,Medical,Research & Development
380,37,Female,Divorced,Medical,Research & Development
381,35,Female,Divorced,Life Sciences,Research & Development
382,38,Female,Divorced,Medical,Sales
384,26,Female,Divorced,Life Sciences,Research & Development
385,50,Male,Divorced,Life Sciences,Research & Development
386,53,Male,Married,Medical,Research & Development
387,42,Male,Married,Life Sciences,Sales
388,29,Male,Single,Life Sciences,Sales
389,55,Male,Married,Technical Degree,Research & Development
390,26,Male,Married,Medical,Research & Development
391,37,Female,Single,Life Sciences,Research & Development
392,44,Male,Divorced,Life Sciences,Research & Development
393,38,Male,Divorced,Life Sciences,Research & Development
394,26,Male,Divorced,Medical,Research & Development
395,28,Female,Single,Life Sciences,Research & Development
396,49,Female,Single,Life Sciences,Research & Development
397,36,Male,Single,Technical Degree,Research & Development
399,31,Female,Divorced,Marketing,Sales
401,26,Male,Single,Marketing,Sales
403,37,Male,Married,Medical,Research & Development
404,42,Female,Married,Marketing,Sales
405,18,Male,Single,Life Sciences,Research & Development
406,35,Male,Married,Marketing,Sales
407,36,Male,Married,Life Sciences,Research & Development
408,51,Male,Divorced,Medical,Research & Development
410,41,Male,Single,Life Sciences,Sales
411,18,Female,Single,Medical,Sales
412,28,Male,Single,Medical,Research & Development
416,31,Male,Married,Technical Degree,Sales
417,39,Male,Divorced,Medical,Research & Development
419,36,Female,Married,Life Sciences,Research & Development
420,32,Male,Married,Life Sciences,Sales
421,38,Female,Married,Life Sciences,Research & Development
422,58,Male,Divorced,Life Sciences,Research & Development
423,31,Male,Married,Technical Degree,Research & Development
424,31,Male,Married,Human Resources,Human Resources
425,45,Male,Divorced,Life Sciences,Research & Development
426,31,Male,Divorced,Life Sciences,Research & Development
428,33,Female,Married,Life Sciences,Research & Development
429,39,Male,Married,Medical,Research & Development
430,43,Female,Single,Life Sciences,Research & Development
431,49,Female,Single,Technical Degree,Research & Development
433,52,Male,Married,Medical,Research & Development
434,27,Female,Single,Life Sciences,Research & Development
436,32,Female,Married,Technical Degree,Sales
437,27,Male,Single,Life Sciences,Sales
438,31,Male,Divorced,Marketing,Sales
439,32,Female,Single,Medical,Research & Development
440,28,Male,Married,Medical,Research & Development
441,30,Female,Married,Medical,Research & Development
442,31,Female,Married,Life Sciences,Research & Development
444,39,Male,Married,Medical,Research & Development
445,39,Female,Married,Medical,Sales
446,33,Male,Single,Marketing,Sales
447,47,Male,Married,Life Sciences,Research & Development
448,43,Female,Divorced,Life Sciences,Research & Development
449,27,Male,Married,Marketing,Sales
450,54,Female,Single,Life Sciences,Research & Development
451,43,Female,Married,Life Sciences,Research & Development
452,45,Male,Married,Other,Research & Development
453,40,Male,Married,Medical,Sales
454,29,Male,Married,Other,Research & Development
455,29,Male,Single,Other,Research & Development
456,30,Female,Divorced,Marketing,Sales
458,27,Female,Married,Marketing,Sales
460,37,Male,Divorced,Medical,Research & Development
461,38,Male,Divorced,Life Sciences,Research & Development
462,31,Female,Single,Medical,Research & Development
463,29,Female,Divorced,Marketing,Sales
464,35,Male,Single,Technical Degree,Research & Development
465,23,Male,Divorced,Life Sciences,Research & Development
466,41,Male,Single,Medical,Research & Development
467,47,Male,Single,Medical,Sales
468,42,Female,Single,Life Sciences,Research & Development
469,29,Male,Married,Life Sciences,Sales
470,42,Male,Divorced,Technical Degree,Human Resources
471,32,Female,Married,Medical,Research & Development
473,48,Female,Married,Medical,Sales
474,37,Male,Divorced,Medical,Research & Development
475,30,Female,Married,Technical Degree,Sales
476,26,Male,Married,Life Sciences,Sales
477,42,Male,Single,Other,Research & Development
478,21,Female,Single,Technical Degree,Sales
479,36,Female,Single,Medical,Sales
481,36,Male,Married,Medical,Sales
482,57,Male,Married,Medical,Research & Development
483,40,Female,Married,Life Sciences,Research & Development
484,21,Male,Single,Medical,Sales
485,33,Female,Single,Marketing,Sales
486,37,Female,Married,Medical,Research & Development
487,46,Female,Married,Medical,Research & Development
488,41,Male,Single,Marketing,Sales
491,50,Male,Single,Technical Degree,Research & Development
492,40,Male,Married,Marketing,Sales
493,31,Male,Single,Life Sciences,Research & Development
494,21,Female,Single,Life Sciences,Sales
495,29,Male,Single,Life Sciences,Research & Development
496,35,Male,Single,Life Sciences,Research & Development
497,27,Male,Divorced,Medical,Research & Development
498,28,Male,Single,Life Sciences,Sales
499,49,Male,Single,Other,Research & Development
500,51,Female,Married,Life Sciences,Sales
501,36,Female,Married,Life Sciences,Research & Development
502,34,Male,Single,Marketing,Sales
505,55,Female,Single,Life Sciences,Research & Development
507,24,Female,Divorced,Marketing,Sales
508,30,Male,Married,Technical Degree,Sales
510,26,Male,Single,Technical Degree,Research & Development
511,22,Female,Married,Medical,Research & Development
513,36,Male,Married,Medical,Sales
514,30,Male,Single,Technical Degree,Research & Development
515,37,Female,Divorced,Life Sciences,Research & Development
516,40,Female,Divorced,Marketing,Sales
517,42,Female,Divorced,Life Sciences,Research & Development
518,37,Male,Single,Life Sciences,Research & Development
520,43,Male,Divorced,Life Sciences,Research & Development
521,40,Female,Married,Medical,Research & Development
522,54,Male,Married,Medical,Research & Development
523,34,Female,Married,Marketing,Sales
524,31,Female,Married,Medical,Research & Development
525,43,Male,Married,Medical,Research & Development
526,43,Female,Divorced,Other,Research & Development
527,25,Female,Single,Life Sciences,Sales
529,37,Female,Married,Medical,Research & Development
530,31,Male,Married,Life Sciences,Research & Development
531,39,Male,Divorced,Life Sciences,Research & Development
532,56,Female,Married,Life Sciences,Sales
533,30,Female,Single,Technical Degree,Sales
534,41,Male,Married,Marketing,Sales
536,28,Male,Divorced,Medical,Research & Development
538,25,Male,Married,Medical,Research & Development
543,52,Male,Married,Medical,Research & Development
544,45,Male,Married,Life Sciences,Research & Development
546,52,Female,Married,Life Sciences,Research & Development
547,42,Female,Divorced,Life Sciences,Research & Development
548,30,Female,Single,Life Sciences,Research & Development
549,60,Female,Married,Life Sciences,Research & Development
550,46,Female,Divorced,Medical,Research & Development
551,42,Female,Married,Technical Degree,Research & Development
554,24,Female,Single,Technical Degree,Sales
555,34,Female,Divorced,Marketing,Sales
556,38,Male,Married,Life Sciences,Research & Development
558,40,Female,Married,Life Sciences,Sales
560,26,Female,Divorced,Life Sciences,Research & Development
562,30,Male,Married,Life Sciences,Research & Development
564,29,Male,Married,Medical,Research & Development
565,29,Female,Married,Technical Degree,Research & Development
566,19,Male,Single,Technical Degree,Human Resources
567,30,Female,Married,Other,Sales
568,57,Male,Divorced,Marketing,Sales
569,50,Male,Married,Life Sciences,Research & Development
571,30,Female,Single,Medical,Research & Development
573,60,Female,Married,Marketing,Sales
574,47,Female,Divorced,Medical,Research & Development
575,46,Male,Married,Life Sciences,Research & Development
577,35,Male,Single,Life Sciences,Research & Development
578,54,Female,Single,Life Sciences,Research & Development
579,34,Male,Divorced,Life Sciences,Research & Development
580,46,Female,Married,Marketing,Sales
581,31,Male,Divorced,Life Sciences,Research & Development
582,33,Male,Married,Medical,Research & Development
584,33,Male,Divorced,Medical,Research & Development
585,30,Male,Single,Marketing,Sales
586,35,Male,Married,Life Sciences,Research & Development
587,31,Male,Married,Life Sciences,Research & Development
590,34,Female,Divorced,Human Resources,Human Resources
591,42,Male,Married,Other,Research & Development
592,36,Male,Single,Medical,Sales
593,22,Male,Single,Technical Degree,Research & Development
595,48,Female,Married,Marketing,Sales
597,55,Female,Single,Life Sciences,Sales
599,41,Male,Single,Life Sciences,Sales
600,35,Male,Married,Marketing,Sales
601,40,Female,Single,Life Sciences,Research & Development
602,39,Female,Married,Life Sciences,Research & Development
604,31,Male,Single,Life Sciences,Sales
605,42,Male,Married,Medical,Research & Development
606,45,Male,Married,Other,Sales
608,26,Female,Divorced,Life Sciences,Human Resources
611,29,Male,Divorced,Technical Degree,Research & Development
612,33,Female,Divorced,Medical,Research & Development
613,31,Male,Divorced,Life Sciences,Sales
614,18,Male,Single,Marketing,Sales
615,40,Male,Divorced,Other,Sales
616,41,Female,Single,Other,Research & Development
618,26,Male,Divorced,Medical,Sales
620,35,Female,Single,Medical,Sales
621,34,Male,Single,Life Sciences,Sales
622,26,Male,Single,Technical Degree,Research & Development
623,37,Female,Single,Technical Degree,Research & Development
624,46,Female,Married,Medical,Research & Development
625,41,Female,Married,Life Sciences,Sales
626,37,Male,Divorced,Medical,Sales
630,52,Male,Divorced,Technical Degree,Research & Development
631,32,Male,Married,Other,Sales
632,24,Male,Married,Medical,Sales
634,38,Female,Married,Medical,Research & Development
635,37,Female,Married,Life Sciences,Research & Development
638,49,Male,Divorced,Life Sciences,Research & Development
639,24,Male,Married,Medical,Research & Development
641,26,Male,Married,Marketing,Sales
643,24,Male,Married,Other,Research & Development
644,50,Male,Married,Medical,Human Resources
645,25,Male,Married,Medical,Sales
647,24,Female,Married,Life Sciences,Research & Development
648,30,Male,Married,Life Sciences,Sales
649,34,Male,Married,Life Sciences,Research & Development
650,31,Male,Divorced,Medical,Sales
652,35,Male,Single,Other,Research & Development
653,31,Male,Divorced,Medical,Sales
655,27,Female,Divorced,Medical,Research & Development
656,37,Male,Married,Marketing,Sales
657,20,Female,Single,Life Sciences,Research & Development
659,42,Female,Married,Life Sciences,Research & Development
661,43,Male,Divorced,Other,Research & Development
662,38,Female,Single,Life Sciences,Research & Development
663,43,Male,Divorced,Medical,Research & Development
664,48,Female,Married,Life Sciences,Research & Development
665,44,Female,Single,Life Sciences,Human Resources
